rating,title,author,fname,lname,date,language
*****,snow crash,neal stephenson,neal,stephenson,10/15/2007,english
****,portrait of the artist as a young man,james joyce,james,joyce,11/17/2007,english
***,kavalier & clay,michael chabon,michael,chabon,11/27/2007,english
***,picture of dorian gray,oscar wilde,oscar,wilde,12/4/2007,english
**,blink,malcolm gladwell,malcolm,gladwell,12/7/2007,english
**,thousand splendid suns,khaled hosseini,khaled,hosseini,12/13/2007,english
**,advantage and disadvantage of history,friedrich nietzsche,friedrich,nietzsche,12/17/2007,english
****,notes from underground,fyodor dostoevsky,fyodor,dostoevsky,12/19/2007,english
*,i am charlotte simmons (rejected),tom wolfe,tom,wolfe,12/23/2007,english
***,bell jar,sylvia plath,sylvia,plath,1/3/2008,english
****,ender's game,orson scott card,orson,scott card,1/6/2008,english
**,unbearable lightness of being,milan kundera,milan,kundera,1/12/2008,english
***,room with a view,e.m. forster,e.m.,forster,1/31/2008,english
***,good-bye to all that,robert graves,robert,graves,2/5/2008,english
****,the wall and other stories,jean-paul sartre,jean-paul,sartre,2/12/2008,english
**,cryptonomicon,neal stephenson,neal,stephenson,3/6/2008,english
***,death in venice,thomas mann,thomas,mann,3/25/2008,english
***,reader's manifesto,b.r. myers,b.r.,myers,4/13/2008,english
*****,franny & zooey,j.d. salinger,j.d.,salinger,5/17/2008,english
****,farewell to arms,ernest hemingway,ernest,hemingway,5/22/2008,english
**,do androids dream of electric sheep,philip k. dick,philip k.,dick,5/23/2008,english
**,pygmalion,george bernard shaw,george bernard,shaw,6/1/2008,english
***,ivan denisovich,alexander solzhenitsyn,alexander,solzhenitsyn,6/3/2008,english
****,sound and the fury,wm faulkner,wm,faulkner,6/12/2008,english
*,pulp,charles bukowski,charles,bukowski,6/28/2008,italian
***,anna karenina,leo tolstoy,leo,tolstoy,7/13/2008,english
*****,catcher in the rye,j.d. salinger,j.d.,salinger,7/17/2008,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,7/28/2008,english
***,snows of kilimanjaro,ernest hemingway,ernest,hemingway,8/3/2008,english
****,northanger abbey,jane austen,jane,austen,8/7/2008,english
***,politics and the english language,george orwell,george,orwell,8/11/2008,english
****,where angels fear to tread,e.m. forster,e.m.,forster,8/18/2008,english
**,why i am not a christian,bertrand russell,bertrand,russell,8/18/2008,english
***,crying of lot 49,thomas pynchon,thomas,pynchon,8/22/2008,english
***,stranger,albert camus,albert,camus,8/26/2008,english
**,on the human shadow,robert bly,robert,bly,9/10/2008,english
****,women in love,d.h. lawrence,d.h.,lawrence,9/11/2008,english
***,starship troopers,robert heinlein,robert,heinlein,9/15/2008,english
***,burden of southern history,c. vann woodward,c. vann,woodward,9/19/2008,english
**,one fifth avenue,candace bushnell,candace,bushnell,10/22/2008,english
***,nausea,jean-paul sartre,jean-paul,sartre,10/28/2008,english
****,tess of the d'urbervilles,thomas hardy,thomas,hardy,11/15/2008,english
*****,white hotel,d.m. thomas,d.m.,thomas,12/5/2008,english
***,light in august,wm faulkner,wm,faulkner,12/15/2008,english
***,ethan frome,edith wharton,edith,wharton,12/17/2008,english
****,tender is the night,f. scott fitzgerald,f. scott,fitzgerald,12/24/2008,english
**,absurdistan,gary shteyngart,gary,shteyngart,1/1/2009,english
****,nine stories,j.d. salinger,j.d.,salinger,1/6/2009,english
***,sirens of titan,kurt vonnegut,kurt,vonnegut,1/15/2009,english
*****,season of migration to the north,tayeb salih,tayeb,salih,2/10/2009,english
**,golden chariot,salwa bakr,salwa,bakr,3/2/2009,english
***,myrtle tree,jad el hage,jad,el hage,3/8/2009,english
***,rape of the lock,alexander pope,alexander,pope,3/15/2009,english
****,overqualified,joey comeau,joey,comeau,3/16/2009,english
