rating,title,author,fname,lname,date,language
*****,snow crash,neal stephenson,neal,stephenson,10/15/07,english
****,portrait of the artist as a young man,james joyce,james,joyce,11/17/07,english
***,kavalier & clay,michael chabon,michael,chabon,11/27/07,english
***,picture of dorian gray,oscar wilde,oscar,wilde,12/4/07,english
**,blink,malcolm gladwell,malcolm,gladwell,12/7/07,english
**,thousand splendid suns,khaled hosseini,khaled,hosseini,12/13/07,english
**,advantage and disadvantage of history,friedrich nietzsche,friedrich,nietzsche,12/17/07,english
****,notes from underground,fyodor dostoevsky,fyodor,dostoevsky,12/19/07,english
*,i am charlotte simmons (rejected),tom wolfe,tom,wolfe,12/23/07,english
***,bell jar,sylvia plath,sylvia,plath,1/3/08,english
****,ender's game,orson scott card,orson,scott card,1/6/08,english
**,unbearable lightness of being,milan kundera,milan,kundera,1/12/08,english
***,room with a view,e.m. forster,e.m.,forster,1/31/08,english
***,good-bye to all that,robert graves,robert,graves,2/5/08,english
****,the wall and other stories,jean-paul sartre,jean-paul,sartre,2/12/08,english
**,cryptonomicon,neal stephenson,neal,stephenson,3/6/08,english
***,death in venice,thomas mann,thomas,mann,3/25/08,english
***,reader's manifesto,b.r. myers,b.r.,myers,4/13/08,english
*****,franny & zooey,j.d. salinger,j.d.,salinger,5/17/08,english
****,farewell to arms,ernest hemingway,ernest,hemingway,5/22/08,english
**,do androids dream of electric sheep,philip k. dick,philip k.,dick,5/23/08,english
**,pygmalion,george bernard shaw,george bernard,shaw,6/1/08,english
***,ivan denisovich,alexander solzhenitsyn,alexander,solzhenitsyn,6/3/08,english
****,sound and the fury,wm faulkner,wm,faulkner,6/12/08,english
*,pulp,charles bukowski,charles,bukowski,6/28/08,italian
***,anna karenina,leo tolstoy,leo,tolstoy,7/13/08,english
*****,catcher in the rye,j.d. salinger,j.d.,salinger,7/17/08,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,7/28/08,english
***,snows of kilimanjaro,ernest hemingway,ernest,hemingway,8/3/08,english
****,northanger abbey,jane austen,jane,austen,8/7/08,english
***,politics and the english language,george orwell,george,orwell,8/11/08,english
****,where angels fear to tread,e.m. forster,e.m.,forster,8/18/08,english
**,why i am not a christian,bertrand russell,bertrand,russell,8/18/08,english
***,crying of lot 49,thomas pynchon,thomas,pynchon,8/22/08,english
***,stranger,albert camus,albert,camus,8/26/08,english
**,on the human shadow,robert bly,robert,bly,9/10/08,english
****,women in love,d.h. lawrence,d.h.,lawrence,9/11/08,english
***,starship troopers,robert heinlein,robert,heinlein,9/15/08,english
***,burden of southern history,c. vann woodward,c. vann,woodward,9/19/08,english
**,one fifth avenue,candace bushnell,candace,bushnell,10/22/08,english
***,nausea,jean-paul sartre,jean-paul,sartre,10/28/08,english
****,tess of the d'urbervilles,thomas hardy,thomas,hardy,11/15/08,english
*****,white hotel,d.m. thomas,d.m.,thomas,12/5/08,english
***,light in august,wm faulkner,wm,faulkner,12/15/08,english
***,ethan frome,edith wharton,edith,wharton,12/17/08,english
****,tender is the night,f. scott fitzgerald,f. scott,fitzgerald,12/24/08,english
**,absurdistan,gary shteyngart,gary,shteyngart,1/1/09,english
****,nine stories,j.d. salinger,j.d.,salinger,1/6/09,english
***,sirens of titan,kurt vonnegut,kurt,vonnegut,1/15/09,english
*****,season of migration to the north,tayeb salih,tayeb,salih,2/10/09,english
**,golden chariot,salwa bakr,salwa,bakr,3/2/09,english
***,myrtle tree,jad el hage,jad,el hage,3/8/09,english
***,rape of the lock,alexander pope,alexander,pope,3/15/09,english
****,overqualified,joey comeau,joey,comeau,3/16/09,english
*****,portrait of mr w.h.,oscar wilde,oscar,wilde,3/19/09,english
***,jude the obscure,thomas hardy,thomas,hardy,3/21/09,english
***,after dark,haruki murakami,haruki,murakami,3/22/09,english
***,men in the sun,ghassan kanafani,ghassan,kanafani,4/1/09,english
****,gate of the sun,elias khoury,elias,khoury,4/6/09,english
***,wolf dreams,yasmina khadra,yasmina,khadra,4/16/09,english
*****,portrait of mr w.h.,oscar wilde,oscar,wilde,4/17/09,english
****,mrs dalloway,virginia woolf,virginia,woolf,4/17/09,english
****,crÃ_nica de una muerte anunciada,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,4/27/09,spanish
****,i`jaam,sinan antoon,sinan,antoon,4/28/09,english
*****,portrait of the artist as a young man,james joyce,james,joyce,5/7/09,english
***,alchemist,paulo coelho,paulo,coelho,5/20/09,english
***,blindness,jose saramago,jose,saramago,5/20/09,english
***,"alas, babylon",pat frank,pat,frank,5/21/09,english
****,neuromancer,william gibson,william,gibson,5/26/09,english
****,birth of tragedy,friedrich nietzsche,friedrich,nietzsche,5/29/09,english
***,mao ii,don delillo,don,delillo,6/6/09,english
***,master and margarita,mikhail bulgakov,mikhail,bulgakov,6/7/09,english
****,as i lay dying,wm faulkner,wm,faulkner,6/12/09,english
****,norwegian wood,haruki murakami,haruki,murakami,6/14/09,english
***,hummingbirds,joshua gaylord,joshua,gaylord,6/20/09,english
****,secret history,donna tartt,donna,tartt,6/26/09,english
****,reasons for and advantages of breathing,lydia peelle,lydia,peelle,7/1/09,english
****,bel canto,ann patchett,ann,patchett,7/4/09,english
**,friendly fire,alaa al-aswani,alaa,al-aswani,7/13/09,english
**,"my prison, my home",haleh esfandiari,haleh,esfandiari,7/17/09,english
***,labor day,joyce maynard,joyce,maynard,7/18/09,english
****,jane eyre,charlotte brontÃ«,charlotte,brontÃ«,7/19/09,english
****,cien aÃ±os de soledad,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,7/23/09,spanish
**,separate peace,john knowles,john,knowles,7/26/09,english
**,way of the world,ron suskind,ron,suskind,7/28/09,english
**,bright shiny morning,james frey,james,frey,7/31/09,english
***,island of dr. moreau,h.g. wells,h.g.,wells,8/4/09,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,8/5/09,english
***,lady chatterley's lover,d.h. lawrence,d.h.,lawrence,8/10/09,english
***,and then there were none,agatha christie,agatha,christie,8/12/09,english
**,final solution,michael chabon,michael,chabon,8/15/09,english
****,heart of darkness,joseph conrad,joseph,conrad,8/22/09,english
***,stardust,neil gaiman,neil,gaiman,8/24/09,english
**,burn this book,toni morrison (ed),toni,morrison (ed),8/28/09,english
**,white noise,don delillo,don,delillo,8/31/09,english
**,daughters of the vicar,d.h. lawrence,d.h.,lawrence,8/31/09,english
****,we wish to inform you,philip gourevitch,philip,gourevitch,9/7/09,english
***,yacoubian building,alaa al-aswani,alaa,al-aswani,9/9/09,english
***,"rue ordener, rue labat",sarah kofman,sarah,kofman,9/11/09,english
***,brideshead revisited,evelyn waugh,evelyn,waugh,9/21/09,english
**,american,henry james,henry,james,9/30/09,english
****,as i lay dying,wm faulkner,wm,faulkner,10/7/09,english
***,nadja,andrÃ© breton,andrÃ©,breton,10/11/09,english
***,spoils of poynton,henry james,henry,james,10/14/09,english
****,light in august,wm faulkner,wm,faulkner,10/21/09,english
**,naomi,junichiro tanizaki,junichiro,tanizaki,10/26/09,english
***,"go down, moses",wm faulkner,wm,faulkner,11/9/09,english
***,el coronel no tiene quien le escriba,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,11/27/09,spanish
***,ambassadors,henry james,henry,james,11/30/09,english
***,pale fire,vladimir nabokov,vladimir,nabokov,12/1/09,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,12/14/09,english
****,house of sand and fog,andre dubus iii,andre,dubus iii,1/2/10,english
****,murder of roger ackroyd,agatha christie,agatha,christie,1/6/10,english
***,blind assassin,margaret atwood,margaret,atwood,1/31/10,english
**,"everything ravaged, everything burned",wells tower,wells,tower,2/19/10,english
***,secret sharer,joseph conrad,joseph,conrad,3/17/10,english
****,arcadia,tom stoppard,tom,stoppard,4/17/10,english
***,absent,betool khedairi,betool,khedairi,4/30/10,english
***,corrections,jonathan franzen,jonathan,franzen,5/24/10,english
***,invisible cities,italo calvino,italo,calvino,6/15/10,english
****,se una notte d'inverno un viaggiatore,italo calvino,italo,calvino,6/19/10,italian
***,girl with the dragon tattoo,stieg larsson,stieg,larsson,7/2/10,english
***,andromeda strain,michael crichton,michael,crichton,7/3/10,english
***,solitudes,john crowley,john,crowley,7/18/10,english
****,final del juego,julio cortÃ¡zar,julio,cortÃ¡zar,7/25/10,spanish
****,erÃ©ndira y otros cuentos,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,8/25/10,spanish
***,three cups of tea,greg mortenson,greg,mortenson,8/29/10,english
***,travesuras de la niÃ±a mala,mario vargas llosa,mario,vargas llosa,8/30/10,spanish
***,girl who played with fire,stieg larsson,stieg,larsson,9/1/10,english
*****,season of migration to the north,tayeb salih,tayeb,salih,9/5/10,english
*****,snow crash,neal stephenson,neal,stephenson,9/10/10,english
****,el aleph,jorge luis borges,jorge,luis borges,9/12/10,spanish
***,american pastoral,philip roth,philip,roth,9/18/10,english
***,middlesex,jeffrey eugenides,jeffrey,eugenides,10/3/10,english
***,tenth parallel,eliza griswold,eliza,griswold,10/20/10,english
****,love & sleep,john crowley,john,crowley,10/28/10,english
*****,cien aÃ±os de soledad,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,10/30/10,spanish
**,netherland,joseph o'neill,joseph,o'neill,11/3/10,english
***,girl who kicked the hornet's nest,stieg larsson,stieg,larsson,11/14/10,english
***,sheltering sky,paul bowles,paul,bowles,11/19/10,english
**,lost symbol,dan brown,dan,brown,11/27/10,english
****,a problem from hell,samantha power,samantha,power,12/10/10,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,12/13/10,english
****,here is new york,e.b. white,e.b.,white,12/17/10,english
**,hour of the star,clarice lispector,clarice,lispector,12/19/10,english
*****,crÃ_nica de una muerte anunciada,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,1/1/11,spanish
***,gambler,fyodor dostoyevsky,fyodor,dostoyevsky,1/8/11,english
**,stranger in a strange land,robert heinlein,robert,heinlein,1/9/11,english
***,llano en llamas,juan rulfo,juan,rulfo,1/11/11,spanish
****,pedro pÃ¡ramo,juan rulfo,juan,rulfo,1/26/11,spanish
****,muerte de artemio cruz,carlos fuentes,carlos,fuentes,2/7/11,spanish
**,daemonomania,john crowley,john,crowley,2/9/11,english
**,my name is red,orhan pamuk,orhan,pamuk,3/1/11,english
***,midnight in the garden of good and evil,john berendt,john,berendt,3/6/11,english
***,mayor of casterbridge,thomas hardy,thomas,hardy,3/30/11,english
***,barbarians at the gate,bryan burrough and john helyar,bryan,burrough and john helyar,5/26/11,english
****,big short,michael lewis,michael,lewis,6/4/11,english
***,sons and lovers,d.h. lawrence,d.h.,lawrence,6/12/11,english
****,watchmen,alan moore and dave gibbons,alan,moore and dave gibbons,6/30/11,english
***,shadow of the wind,carlos ruiz zafÃ_n,carlos,ruiz zafÃ_n,6/30/11,english
**,intruder in the dust,wm faulkner,wm,faulkner,7/7/11,english
